                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8225,                0.87044,                 1.1627,                0.75736,                0.74154,                0.74689,                0.30899,                 1.9651,                0.87644,                 1.1926,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.8367,                0.88774,                 1.1712,                0.73915,                0.70769,                 0.7305,                0.28009,                 2.0001,                0.93229,                  1.198,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.8056,                0.86443,                 1.1432,                0.77649,                0.74769,                0.75569,                0.31988,                 1.9614,                0.86571,                 1.1965,               0.000614,               0.000614,               0.000614
                     38,                 1.7832,                0.84403,                 1.1789,                0.76246,                 0.7111,                0.73013,                0.32039,                 1.9262,                0.84873,                 1.1812,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.8412,                0.87243,                 1.1556,                0.75954,                0.73866,                0.73924,                0.30243,                 1.9955,                0.89773,                 1.1971,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.8025,                0.84309,                 1.1369,                0.77556,                0.72615,                0.73695,                0.31458,                 1.9237,                0.88623,                 1.1661,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.7905,                0.85696,                 1.1975,                0.77869,                0.73846,                 0.7434,                  0.287,                 2.0425,                0.86447,                 1.2331,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.8017,                0.85149,                 1.2001,                0.74806,                0.74003,                0.74426,                0.30645,                 1.9635,                0.87509,                 1.1835,               0.000416,               0.000416,               0.000416
                     43,                 1.7962,                0.83591,                 1.1807,                0.76118,                0.72572,                 0.7304,                 0.3093,                 1.9599,                0.87269,                 1.1875,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.7606,                0.81256,                 1.1722,                0.75994,                0.71692,                0.73536,                0.29348,                 2.0108,                0.90844,                 1.1941,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.7114,                0.80359,                  1.159,                0.77683,                0.72308,                 0.7365,                0.30618,                 1.9712,                0.86938,                 1.1978,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.7069,                0.79367,                  1.154,                0.77606,                0.73577,                0.74312,                0.30216,                 1.9735,                0.85099,                 1.2007,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.6835,                0.77858,                  1.148,                0.74633,                0.73538,                0.72131,                0.29808,                  1.977,                0.87193,                 1.2036,               0.000218,               0.000218,               0.000218
                     48,                 1.6621,                0.76134,                 1.1476,                0.76184,                0.71692,                0.73816,                 0.2951,                 2.0184,                0.87028,                 1.2188,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.6724,                0.76898,                 1.1463,                0.77248,                0.74174,                0.75667,                0.31002,                 1.9626,                0.85434,                 1.2094,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.6248,                0.75717,                 1.1259,                0.76097,                0.74462,                0.73073,                0.29918,                 1.9838,                0.88086,                 1.2201,               9.92e-05,               9.92e-05,               9.92e-05
